Gazde,Oaspeti,1,X,2
CSM Iasi,Fc Hermanstadt,"2,10","3,20","3,60"
Astra,Univ.Craiova,"2,70","3,15","2,70"
Botosani,Viitorul C.,"2,70","3,20","2,65"
Fcsb,Voluntari,"1,33","4,85","9,50"
Dunărea Călăraşi,Gaz Metan,"2,80","3,15","2,60"
Sepsi Sf.Gheorghe,CFR Cluj,"4,00","3,30","1,95"
Concordia Chiajna,Dinamo B.,"3,70","3,30","2,05"
CSM Iasi,Univ.Craiova,"3,15","3,20","2,30"
Sepsi Sf.Gheorghe,Fc Hermanstadt,"1,85","3,30","4,50"
Botosani,CFR Cluj,"3,55","3,25","2,10"
Dunărea Călăraşi,Viitorul C.,"3,40","3,20","2,20"
Fcsb,Astra,"1,75","3,50","4,80"
Concordia Chiajna,Gaz Metan,"2,85","3,15","2,55"
Voluntari,Dinamo B.,"3,65","3,20","2,10"
