Gazde,Oaspeti,DateTime,1,X,2
Iasi,Hermannstadt,26.10.2018 18:00,2.15,3.20,3.65
Astra G.,CSU Craiova,26.10.2018 21:00,2.70,3.15,2.70
Botosani,Viitorul C.,27.10.2018 18:00,2.70,3.20,2.70
FCSB,Voluntari,27.10.2018 21:00,1.37,4.80,8.75
Dun.Calarasi,Gaz Metan M.,28.10.2018 14:00,2.95,3.05,2.60
"ACS Sepsi ",CFR Cluj,28.10.2018 21:00,4.15,3.20,2.00
C.Chiajna,Dinamo Buc.,29.10.2018 21:00,3.60,3.35,2.10
Iasi,CSU Craiova,02.11.2018 21:00,3.00,3.20,2.45
"ACS Sepsi ",Hermannstadt,03.11.2018 18:00,1.90,3.20,4.68
Botosani,CFR Cluj,03.11.2018 21:00,3.50,3.20,2.20
Dun.Calarasi,Viitorul C.,04.11.2018 14:00,3.23,3.35,2.25
FCSB,Astra G.,04.11.2018 21:00,1.75,3.50,5.12
C.Chiajna,Gaz Metan M.,05.11.2018 18:00,2.87,3.20,2.55
Voluntari,Dinamo Buc.,05.11.2018 21:00,3.57,3.25,2.15
